PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0BY7H,8/kp4R1/1p1P2p1/1P2K3/6rp/8/8/8 b - - 4 47,g4g5 e5e6 h4h3 d6d7 h3h2 d7d8q h2h1q d8g5,2259,76,93,7960,advancedPawn crushing defensiveMove endgame promotion rookEndgame veryLong,https://lichess.org/cn1YMaL2/black#94,
0BY7u,2kr3r/p1pp1p2/1pb5/2b3pp/3qP1N1/2NP1QP1/PPP3PP/2KR3R w - - 0 16,c3e2 h5g4 e2d4 g4f3,1483,75,89,878,crushing middlegame short,https://lichess.org/x7meqYbp#31,Italian_Game Italian_Game_Giuoco_Pianissimo
0BYD1,rnb1k2r/pp1p1pb1/2p3pp/q1P5/4PN2/1N6/P2Q1PPP/1R2KB1R b Kkq - 2 14,g7c3 b3a5 c3d2 e1d2,1049,81,93,74,crushing middlegame short,https://lichess.org/L5vdR1ft/black#28,Indian_Defense Indian_Defense_West_Indian_Defense
0BYEC,8/1pQR2pk/p3p3/4B2p/1PP1P2q/P3b1N1/5rPK/8 w - - 4 29,h2g1 f2f4,1812,81,50,423,discoveredAttack mate mateIn1 middlegame oneMove,https://lichess.org/cmUbAQRq#57,
0BYH7,3r3k/2q1b1pp/p3Q3/2p5/N1Pp1p2/1P3P2/P5PP/4R1K1 b - - 5 26,c7d6 e6e7 d6e7 e1e7,1009,91,74,201,crushing endgame short,https://lichess.org/w2KNi5P5/black#52,
0BYIp,r4rk1/pp4pp/3q2p1/b7/2BB4/P3P1P1/4KPP1/R6R b - - 0 22,g8h8 h1h7 h8h7 a1h1,1332,75,89,232,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/WeyLA4eL/black#44,
0BYRp,5bk1/5rp1/p2pQ2B/3P3P/q7/Pp1P4/1P3r2/1K1R2R1 w - - 0 29,h6g7 f8g7 g1g7 g8g7 d1g1 g7h8 e6c8 f7f8,2323,85,79,57,advantage middlegame veryLong,https://lichess.org/Y9qRjcBx#57,
0BYUn,2q1r1k1/p5p1/2pbPp1r/3p4/2pP2QN/2P1R2P/PP4P1/5K2 b - - 8 36,e8e7 h4f5 g8h8 f5d6,1855,79,85,35,advantage fork middlegame short,https://lichess.org/VDTfP0o1/black#72,
0BYYw,2kr4/ppp2p2/4p1r1/2q3P1/2Pn1PP1/1PQRB3/P7/1K6 b - - 0 29,d4e2 d3d8 c8d8 c3h8 d8d7 e3c5,1700,78,88,156,attraction crushing long middlegame queensideAttack,https://lichess.org/fxD3Vj4m/black#58,
0BYfa,1r1r2k1/p4ppp/2p2b2/2p5/2P3b1/1PN3P1/P2BPP1P/R2R2K1 w - - 3 19,f2f3 d8d2 d1d2 f6c3 a1d1 c3d2,1851,74,95,7858,advantage attraction capturingDefender fork long middlegame,https://lichess.org/NrmFslCG#37,Queens_Gambit_Declined Queens_Gambit_Declined_Albin_Countergambit
0BYlO,8/8/2p3k1/2pp4/5K2/2P2R2/2q5/6R1 b - - 5 46,g6h7 f3h3,840,76,100,162,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/txtksrKT/black#92,
0BYn1,r2q1b1r/1b1p1kpp/p4n2/np2P3/2p2Q2/1B6/PPPP1PPP/RNB2RK1 b - - 2 11,d8c7 e5e6 d7e6 f4c7,1178,75,100,68,advantage discoveredAttack middlegame short,https://lichess.org/tAPMwJtZ/black#22,Ruy_Lopez Ruy_Lopez_Morphy_Defense
0BYqL,r2k1r2/1p4pQ/4R2p/p1p1b3/P4q2/BBp4P/6P1/R6K w - - 1 28,a3c5 f4h2,1122,76,96,4183,mate mateIn1 middlegame oneMove,https://lichess.org/ICmwNtFX#55,
